text,page,section,block_type,source,label,label_id
may complete successfully if a sanitize operation is in progress.,4,7.2 Flush command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
"The command specific fields in the SQE and CQE structures (i.e., SQE Command Dwords 10-15, CQE Dword 0, and CQE Dword 1) for I/O commands supported across all I/O Command Sets are defined in this section.",1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the Number of Dwords (NUMD) field corresponds to a length that is less than the size of the data structure to be returned, then only that specified portion of the data structure is transferred.",5,7.3 I/O Management Receive command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the command uses SGLs for the data transfer, then the SGL Entry 1 field is used.",5,7.3 I/O Management Receive command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
Flexible Data Placement (refer to section 8.1.11) enabled; and,4,7.2 Flush command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the FB field is cleared to 00b, then the controller behavior if the specified NSID is FFFFFFFFh is not indicated.",4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If a 64-bit Host Identifier has been specified and the Extended Data Structure bit is set to '1' in Command Dword 11, then the controller shall abort the command with the status code of Host Identifier Inconsistent Format.",12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
"Refer to each I/O Command Set specification for applicability and additional details, if any.",1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the NSID field is set to 0h or FFFFFFFFh, then the controller shall abort the command with a status code of Invalid Namespace or Format.",6,Reclaim Unit Handle Status (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
"If a volatile write cache is enabled (refer to section 5.2.26.1.4), then the Flush command shall commit data and metadata associated with the specified namespace(s) to non-volatile storage media.",4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
"If Flexible Data Placement is disabled in the Endurance Group containing the specified namespace, then the controller shall abort the command with a status code of FDP Disabled.",8,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
The Reclaim Unit Handle Status management operation is used to provide information about Reclaim Unit Handles (refer to section 1.5.89) that are accessible by the specified namespace.,5,Reclaim Unit Handle Status (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The command uses Command Dword 10 and a Reservation Release data structure in memory.,11,7.7 Reservation Release command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"When the command is completed, the controller shall post a completion queue entry to the associated I/O Completion Queue indicating the status for the command.",9,Command Completion,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
The command uses Command Dword 10 and Command Dword 11.,12,7.8 Reservation Report command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"a deferred abort (i.e., the abort action may or may not occur prior to posting the completion queue entry for the Cancel command).",2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,PROHIBITED,1
11b = bidirectional.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the Cancel Action (refer to Figure 591) specified a Single Command Cancel Action and the Commands Aborted field is cleared to 0h, then the host should examine the status in the completion queue entry of the command to abort to determine whether the command was aborted or not (i.e., whether a deferred abort was performed or not).",3,Command Completion,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,RECOMMENDED,2
"If the Cancel command is supported, then the Commands Supported and Effects log page shall be supported.",2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
"If a volatile write cache is not present or not enabled, then Flush commands shall have no effect and:",4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
Refer to the Transfer Direction field in Figure 91.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
A host may use the Volatile Write Cache Not Present (VWCNP) bit in the I/O Command Set Independent Identify Namespace data structure to determine if a Volatile Write Cache is not present for a namespace.,4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
shall complete successfully if a sanitize operation is not in progress; and,4,7.2 Flush command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
"For each command on which a deferred abort is performed, there are no requirements on the ordering of posting of the completion queue entry for the Cancel command (refer to section 7.1.1).",2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"then, even though the Volatile Write Cache field in the Identify Controller data structure (refer to Figure 328) indicates the presence of a volatile write cache in the controller, this namespace does not have a volatile write cache present.",4,7.2 Flush command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the command uses PRPs for the data transfer, then the PRP Entry 1 and PRP Entry 2 fields are used.",5,7.3 I/O Management Receive command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The controller applies the specified Cancel Action (refer to Figure 591) to all outstanding commands that have been fetched prior to the processing of the Cancel command.,2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The command uses Command Dword 10 and a Reservation Acquire data structure in memory.,8,7.5 Reservation Acquire command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"Some of the commands to abort may have already completed, currently be processing, or be deeply queued.",1,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
"If the currently referenced Reclaim Unit has been written with user data, then the Placement Identifier shall be modified to reference a different Reclaim Unit that is empty (refer to section 3.2.4); and",7,Reclaim Unit Handle Update (Management Operation 01h),list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
The command uses Command Dword 10 and a Reservation Register data structure in memory (refer to Figure 608).,10,7.6 Reservation Register command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The behavior of the command is dependent on the specified operation as defined in the Management Operation field in Figure 595.,5,7.3 I/O Management Receive command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"While processing an I/O Management Send command that specifies the Reclaim Unit Handle Update operation, if the controller processes a write command that utilizes a Placement Identifier specified in the Placement Identifier List of that I/O Management Send command, then the controller may write the user data for that write command to the referenced Reclaim Unit:",7,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,OPTIONAL,3
00b = no data transfer;,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
An I/O command is a command submitted to an I/O Submission Queue.,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"If the command is aborted, then Placement Identifiers may or may not have been updated.",7,Reclaim Unit Handle Update (Management Operation 01h),text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,PROHIBITED,1
use the Abort command;,2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
The Reservation Acquire command is used to:,8,7.5 Reservation Acquire command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
before the completion of the Cancel command.,2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
10b = controller to host;,1,7 I/O Commands,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"an immediate abort (i.e., the abort action occurs prior to posting the completion queue entry for the Cancel command); or",2,7.1 Cancel command,list_item,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,INFORMATIVE,4
"For each command on which an immediate abort is performed, the controller shall meet the immediate abort requirements (refer to section 5.2.1.1) for that command before posting the completion queue entry for the Cancel command.",2,7.1 Cancel command,text,NVM-Express-Base-Specification-Revision-2.3-2025.08.01-Ratified.pdf,MANDATORY,0
